Date,Total_nr_of_tests,Nr_of_positive_tests,NR_SGTF_tests,Percentage_s_dropout
23/12/2020,1529,84,0,0
24/12/2020,1373,64,3,4.7
25/12/2020,325,15,3,20
26/12/2020,1813,94,0,0
27/12/2020,1273,62,0,0
28/12/2020,1321,64,0,0
29/12/2020,1298,70,0,0
30/12/2020,1321,60,0,0
31/12/2020,1240,53,0,0
01/01/2021,201,11,0,0
02/01/2021,1635,91,3,3.3
03/01/2021,1552,136,4,2.9
04/01/2021,1468,84,16,19
05/01/2021,1617,72,10,13.9
06/01/2021,1642,83,12,14.5
07/01/2021,1693,92,17,18.5
08/01/2021,291,19,3,15.8
09/01/2021,1970,120,24,20
10/01/2021,1532,81,15,18.5
11/01/2021,1389,96,25,26
12/01/2021,1512,76,18,23.7
13/01/2021,1565,75,14,18.7
14/01/2021,1522,94,22,23.4
15/01/2021,548,47,15,31.9
16/01/2021,1863,96,41,42.7
17/01/2021,1338,96,35,36.5
18/01/2021,1241,81,29,35.8
19/01/2021,1322,74,34,45.9
20/01/2021,1341,81,35,43.2
21/01/2021,1478,82,34,41.5
22/01/2021,802,69,40,58
23/01/2021,1506,71,38,53.5
24/01/2021,1347,54,32,59.3
25/01/2021,1366,75,45,60
26/01/2021,1523,81,61,75.3
27/01/2021,1634,91,63,69.2
28/01/2021,1799,85,62,72.9
29/01/2021,866,91,60,65.9
30/01/2021,1881,95,61,64.2
31/01/2021,1709,162,117,72.2
01/02/2021,1597,167,122,73.1
02/02/2021,1746,130,106,81.5
03/02/2021,1970,164,128,78
04/02/2021,2223,166,139,83.7
05/02/2021,1169,118,97,82.2
06/02/2021,2623,246,195,79.3
07/02/2021,2055,198,154,77.8
08/02/2021,1981,203,173,85.2
09/02/2021,2188,189,160,84.7
10/02/2021,2160,146,133,91.1
11/02/2021,2239,327,277,84.7
12/02/2021,1308,219,205,93.6
13/02/2021,2666,522,458,87.7